Año,Organismo Promotor,Empleos potenciales comprometidos,Empleos mejorados comprometidos,Empresas atendidas potenciales comprometidas,Empresas atendidas existentes comprometidas,Certificaciones Organizacionales comprometidas,Implantaciones comprometidas, Monto de aportación del PROSOFT ," Monto de aportación de la entidad federativa
 ", Monto de aportación del sector privado , Monto de aportación del sector académico , Monto de aportación de otros aportantes , Total de aportaciones ,Localización-Municipio del Proyecto,Localización-Entidad Federativa del Proyecto,Vinculado al Banco Mundial,Componente de Banco Mundial
2005,Veracruz,2,6,0,1,0,0,"$538,500.00","$538,500.00","$1,077,000.00",$0.00,$0.00,"$2,154,000.00",Xalapa,Veracruz,0,
2005,Querétaro,2,0,1,11,0,0,"$220,000.00","$220,000.00","$100,000.00",$0.00,$0.00,"$540,000.00",Varios,Querétaro,0,
2005,Chiapas,0,12,0,11,0,0,"$1,855,577.00","$1,855,577.00",$0.00,$0.00,$0.00,"$3,711,154.00",Tuxtla Gutiérrez,Chiapas,0,
2005,Chiapas,4,5,0,1,0,0,"$240,000.00","$240,000.00","$240,000.00",$0.00,$0.00,"$720,000.00",Tapachula,Chiapas,0,
2005,Sinaloa,0,65,0,15,0,0,"$401,000.00","$401,000.00","$802,000.00",$0.00,$0.00,"$1,604,000.00",Varios,Sinaloa,0,
2005,Morelos,1,0,0,1,0,0,"$76,000.00","$76,000.00","$152,000.00",$0.00,$0.00,"$304,000.00",Cuernavaca,Morelos,0,
2005,Yucatán,3,0,0,1,0,0,"$49,000.00","$49,000.00","$98,000.00",$0.00,$0.00,"$196,000.00",Mérida,Yucatán,0,
2005,Guanajuato,1,0,0,1,0,0,"$41,900.00","$41,900.00","$83,800.00",$0.00,$0.00,"$167,600.00",Nuevo León,Guanajuato,0,
2005,Guanajuato,1,0,0,1,0,0,"$200,000.00","$200,000.00","$400,000.00",$0.00,$0.00,"$800,000.00",Nuevo León,Guanajuato,0,
2005,Tlaxcala,3,30,0,8,0,0,"$413,750.00","$413,750.00","$208,302.00",$0.00,$0.00,"$1,035,802.00",Varios,Tlaxcala,0,
2005,Guanajuato,1,0,0,1,0,0,"$250,000.00","$250,000.00","$500,000.00",$0.00,$0.00,"$1,000,000.00",Nuevo León,Guanajuato,0,
2005,Morelos,0,39,0,1,0,0,"$1,100,000.00",$0.00,$0.00,"$1,100,000.00","$400,000.00","$2,600,000.00",Emiliano Zapata,Morelos,0,
2005,Guanajuato,0,2,0,1,0,0,"$180,625.00","$180,625.00","$361,250.00",$0.00,$0.00,"$722,500.00",Nuevo León,Guanajuato,0,
